X,visits,days_attend,hours_attend,gender,age,zip,extend,length,spend_food_drink,spend_private,spend_clothes,spend_transportation,spend_donations,spend_other,spend_food_drink_total,spend_entertainment_total,spend_shopping_total,spend_travel_total,length_boulder,lodging,lodging_cost
250,20,0,3,Female,55-64,92463,No,0,$1 - $20,"$2,000-$3,000",$500-$999,NA,$100-$199,"$3,000-$4,000","$2,000-$4,999",$20-$49,$500-$999,$50-$99,Day trip,"Friends, family or no expense",175
219,20,1-2 days,6,Female,45-54,80306,Yes,A few hours,$50-$99,$100-$199,$500-$999,$21-$49,$1 - $20,$1 - $20,$100-$199,0,$50-$99,$200-$499,Two nights,Home,500
273,20,3-4 days,6,Male,25-34,80305,NA,0,$200-$499,"$1,000-$1,499","$1,000.00",NA,"$1,000-$1,499",$1 - $20,$100-$199,$20-$49,$50-$99,$50-$99,Two nights,Hotel or motel,N/A
271,20,7-8 days,2,Female,45-54,80305,NA,-,NA,"$1,000-$1,499",$100-$199,"$2,000-$3,000",$500-$999,$200-$499,$100-$199,$20-$49,$200-$499,$1 - $20,Two nights,"Friends, family or no expense",N/A
62,20,1-2 days,3,Female,65-74,80304,Yes,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$1 - $20,$50-$99,0,0,0,0,$50-$99,NA,NA,$50-$99,Two nights,Hotel or motel,500
57,20,0,0,Male,25-34,80306,NA,I live here,$1 - $20,0,0,0,0,0,$200-$499,0,$500-$999,$50-$99,One night,Home,240
16,20,0,0,Female,65-74,80309,No,Zero,0,0,0,0,0,0,$200-$499,$500-$999,$200-$499,$20-$49,Local resident,Hotel or motel,3
72,20,5-6 days,6,Male,65-74,80304,Yes,-,$1 - $20,$1 - $20,$1 - $20,$1 - $20,$50-$99,0,$20-$49,$500-$999,0,$20-$49,Two nights,Boulder Resident,500
83,3-4 times,1-2 days,3,Female,35-44,80303,NA,Didn't extend stay,$1 - $20,0,0,0,0,$1 - $20,$50-$99,$100-$199,$1 - $20,$1 - $20,Four nights,Hotel or motel,280
86,3-4 times,1-2 days,4,Female,35-44,80305,NA,2 days,$1 - $20,"$1,000-$1,499",$1 - $20,$1 - $20,$21-$49,$1 - $20,$20-$49,$1 - $20,$500-$999,0,Four nights,Hotel or motel,200
53,1-2 times,1-2 days,2,Female,65-74,80309,Yes,Home is here,0,0,0,0,0,0,"$2,000-$4,999",$1 - $20,$500-$999,NA,Multiple day trips,Home,NA
280,1-2 times,0,4,Female,55-64,91335,NA,2 days,NA,NA,0,$200-$499,"$1,000-$1,499",$200-$499,$50-$99,$1 - $20,$1 - $20,$50-$99,Day trip,Boulder Resident,3
120,45,5-6 days,2,Male,45-54,80304,No,Zero,$100-$199,0,$21-$49,0,$21-$49,$200-$499,$100-$199,$20-$49,0,$500-$999,Three nights,NA,125
154,20,3-4 days,2,Female,75-84,80304,NA,2 days,$21-$49,0,$100-$199,$1 - $20,0,0,0,$50-$99,$20-$49,$1 - $20,Resident,"Friends, family or no expense",N/A
19,20,1-2 days,6,Female,55-64,80303,Yes,NA,0,0,$50-$99,0,0,0,$50-$99,$500-$999,$100-$199,$200-$499,Resident,Home,200
211,20,3-4 days,4,Male,35-44,80303,NA,NA,$50-$99,$50-$99,0,$21-$49,0,0,"$1,000-$1,999",$50-$99,NA,$20-$49,NA,NA,200
216,20,5-6 days,5,Female,45-54,80303,NA,A few hours,$50-$99,$100-$199,$100-$199,$21-$49,0,$500-$999,$1 - $20,$1 - $20,NA,$500-$999,Local resident,Home,0
79,1-2 times,1-2 days,8,Male,18-24,80306,NA,NA,$1 - $20,$1 - $20,$1 - $20,$1 - $20,$1 - $20,$1 - $20,$100-$199,$20-$49,$50-$99,$500-$999,Resident,Boulder Resident,125
276,20,1-2 days,6,Male,55-64,80305,Yes,Zero,0,$100-$199,0,$200-$499,$50-$99,NA,$100-$199,0,$500-$999,0,Two nights,NA,N/A
286,5-6 times,1-2 days,4,Female,25-34,93013,No,Live in area,0,$1 - $20,$500-$999,$100-$199,$500-$999,$100-$199,$50-$99,$1 - $20,$1 - $20,$1 - $20,Day trip,Boulder Resident,175
223,1-2 times,1-2 days,5,Female,65-74,93113,No,0,$50-$99,0,$1 - $20,0,0,$21-$49,$200-$499,$1 - $20,NA,$200-$499,Local resident,"Friends, family or no expense",280
32,1-2 times,0,0,Female,65-74,80303,Yes,0,0,0,0,0,0,0,NA,$1 - $20,$50-$99,$500-$999,Four nights,"Friends, family or no expense",125
284,3-4 times,1-2 days,4,Female,25-34,80305,NA,0,$1 - $20,0,"$1,000-$1,499",$50-$99,NA,$100-$199,$20-$49,$1 - $20,0,0,Two nights,"Friends, family or no expense",NA
72,20,5-6 days,6,Male,65-74,80304,Yes,-,$1 - $20,$1 - $20,$1 - $20,$1 - $20,$50-$99,0,$20-$49,$500-$999,0,$20-$49,Two nights,Boulder Resident,500
138,1,3-4 days,4,Female,45-54,80303,No,Home is here,$21-$49,$1 - $20,0,0,0,$1 - $20,0,$50-$99,0,$200-$499,Local,Home,0
18,20,1-2 days,2,Female,35-44,80303,NA,-,0,0,$1 - $20,0,0,0,0,0,$100-$199,$20-$49,Two nights,Hotel or motel,125
143,12,2,2,Male,55-64,80303,Yes,A few hours,$21-$49,0,0,$1 - $20,0,"$5,000.00",$100-$199,0,0,0,Two nights,Home,0
237,5-6 times,3-4 days,2.5,Female,25-34,80302,No,Didn't extend stay,$50-$99,0,0,$21-$49,$1 - $20,0,"$1,000-$1,999",$200-$499,$20-$49,$20-$49,Three nights,NA,175
259,20,3-4 days,3,Male,35-44,80305,NA,0,$50-$99,$100-$199,$500-$999,$100-$199,NA,$100-$199,$20-$49,$100-$199,NA,$50-$99,Day trip,Home,280
153,20,5-6 days,4,Female,35-44,80306,No,A few hours,$21-$49,NA,$1 - $20,$1 - $20,$21-$49,$1 - $20,"$1,000-$1,999",$200-$499,$1 - $20,0,Three nights,Hotel or motel,175
173,1-2 times,3-4 days,3,Female,25-34,80303,Yes,I live here,$21-$49,0,$21-$49,$21-$49,0,$50-$99,NA,$50-$99,$1 - $20,0,Resident,NA,500
148,20,3-4 days,3,Female,35-44,80306,NA,Home is here,$21-$49,0,$1 - $20,0,$1 - $20,$500-$999,$20-$49,NA,$500-$999,0,Local resident,Boulder Resident,280
49,5-6 times,0,0,Female,55-64,80306,Yes,Home is here,0,0,0,0,0,0,$200-$499,$1 - $20,$20-$49,$1 - $20,Resident,"Friends, family or no expense",175
50,5-6 times,3-4 days,4,Female,55-64,93108,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",0,$200-$499,0,0,$200-$499,"$3,000-$4,000",$50-$99,$50-$99,$1 - $20,$200-$499,Resident,NA,3
278,35,3-4 days,4,Female,75-84,80305,NA,2 days,"$1,000.00",$200-$499,"$1,000-$1,499",$1 - $20,0,$21-$49,$200-$499,$100-$199,$100-$199,$20-$49,Day trip,NA,N/A
36,3-4 times,0,0,Female,45-54,80303,NA,Zero,0,0,0,0,0,0,$20-$49,0,NA,$50-$99,Resident,Boulder Resident,0
213,20,3-4 days,5,Female,55-64,93108,No,A few hours,$50-$99,0,$1 - $20,$21-$49,$1 - $20,$1 - $20,$20-$49,0,$100-$199,$200-$499,One night,Home,200
24,1-2 times,0,0,Female,35-44,80303,No,Live in area,0,0,0,0,0,0,$20-$49,$20-$49,$500-$999,$50-$99,Day trip,NA,125
45,5-6 times,1-2 days,1,Female,35-44,80303,No,2 days,0,0,0,0,0,0,$50-$99,0,0,$50-$99,Two nights,"Friends, family or no expense",500
61,20,0,2,Female,75-84,80309,No,Didn't extend stay,$1 - $20,0,0,0,$21-$49,$21-$49,"$2,000-$4,999",$100-$199,NA,$50-$99,Multiple day trips,"Friends, family or no expense",N/A
215,20,5-6 days,8,Female,25-34,80303,NA,Live in area,$50-$99,$21-$49,$1 - $20,$21-$49,"$1,000-$1,499",$21-$49,"$2,000-$4,999",0,$500-$999,$200-$499,Live in Boulder,Hotel or motel,3
114,1-2 times,1-2 days,5,Female,25-34,80304,No,Live in area,$100-$199,0,0,$21-$49,0,0,$20-$49,$1 - $20,$200-$499,$1 - $20,Local,Boulder Resident,0
63,20,3-4 days,2,Female,55-64,80306,No,-,$1 - $20,0,$1 - $20,0,0,0,$100-$199,0,$100-$199,$50-$99,NA,NA,175
280,1-2 times,0,4,Female,55-64,91335,NA,2 days,NA,NA,0,$200-$499,"$1,000-$1,499",$200-$499,$50-$99,$1 - $20,$1 - $20,$50-$99,Day trip,Boulder Resident,3
5,7,3-4 days,2,Female,45-54,80304,NA,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",0,0,0,$1 - $20,0,0,$20-$49,0,0,$50-$99,I live here,Home,175
61,20,0,2,Female,75-84,80309,No,Didn't extend stay,$1 - $20,0,0,0,$21-$49,$21-$49,"$2,000-$4,999",$100-$199,NA,$50-$99,Multiple day trips,"Friends, family or no expense",N/A
124,20,7-8 days,3,Female,35-44,80309,Yes,I live here,$200-$499,0,$21-$49,$21-$49,0,"$3,000-$4,000",$200-$499,NA,$500-$999,0,Local,NA,240
91,5-6 times,1-2 days,2,Female,35-44,93111,No,1 day,$1 - $20,0,0,0,0,0,$200-$499,$20-$49,$20-$49,$1 - $20,One night,Home,175
247,1,3-4 days,6,Female,25-34,12345,Yes,1 day,$500-$999,$500-$999,"$1,000-$1,499","$2,000-$3,000",$100-$199,$500-$999,$20-$49,$50-$99,$50-$99,$1 - $20,Three nights,Hotel or motel,240
253,20,1-2 days,2,Male,25-34,93107,NA,Home is here,0,$21-$49,$1 - $20,$1 - $20,$200-$499,$200-$499,$1 - $20,0,$1 - $20,0,Day trip,"Friends, family or no expense",280
126,20,7-8 days,3,Female,35-44,80309,No,Home is here,$200-$499,0,$21-$49,$21-$49,0,$200-$499,$50-$99,$200-$499,$20-$49,$200-$499,Two nights,Home,280
5,7,3-4 days,2,Female,45-54,80304,NA,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",0,0,0,$1 - $20,0,0,$20-$49,0,0,$50-$99,I live here,Home,175
187,5-6 times,1-2 days,2,Female,55-64,80309,No,0,$21-$49,0,0,0,0,0,NA,$200-$499,$1 - $20,NA,Local,Home,125
140,1,3-4 days,4,Female,55-64,93460,Yes,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$21-$49,$500-$999,$21-$49,$50-$99,0,$21-$49,$1 - $20,$1 - $20,$50-$99,$1 - $20,Four nights,NA,0
208,20,1-2 days,3,Male,45-54,80303,No,1 day,$50-$99,$50-$99,$1 - $20,$1 - $20,$200-$499,$50-$99,NA,$20-$49,$100-$199,$1 - $20,Resident,Hotel or motel,N/A
156,20,1-2 days,4,Female,35-44,80309,NA,Zero,$21-$49,$500-$999,$500-$999,$1 - $20,$50-$99,$200-$499,"$2,000-$4,999",$500-$999,$200-$499,$20-$49,Local,Boulder Resident,240
293,25,0,2,Male,55-64,80303,No,Zero,$21-$49,$21-$49,"$1,000-$1,499",$500-$999,$100-$199,NA,$200-$499,$50-$99,$100-$199,$50-$99,NA,"Friends, family or no expense",200
114,1-2 times,1-2 days,5,Female,25-34,80304,No,Live in area,$100-$199,0,0,$21-$49,0,0,$20-$49,$1 - $20,$200-$499,$1 - $20,Local,Boulder Resident,0
130,20,7-8 days,3,Female,35-44,80309,No,1 day,$200-$499,0,$21-$49,$21-$49,0,$21-$49,$100-$199,$100-$199,NA,$1 - $20,I live here,Home,0
239,1-2 times,3,5,Female,35-44,93111,NA,-,$50-$99,0,$1 - $20,$1 - $20,"$1,000-$1,499",0,$1 - $20,$100-$199,0,$1 - $20,Live in Boulder,"Friends, family or no expense",280
185,5-6 times,1-2 days,1,Female,25-34,93013,No,Home is here,$21-$49,0,0,0,0,0,NA,$200-$499,$1 - $20,$500-$999,Local resident,Hotel or motel,175
39,3-4 times,1-2 days,2,Female,75-84,80306,No,Home is here,0,0,0,0,0,0,"$1,000-$1,999",$50-$99,$20-$49,$1 - $20,Local,Boulder Resident,280
138,1,3-4 days,4,Female,45-54,80303,No,Home is here,$21-$49,$1 - $20,0,0,0,$1 - $20,0,$50-$99,0,$200-$499,Local,Home,0
106,20,1-2 days,6,Female,55-64,80304,Yes,2 days,$100-$199,0,0,$21-$49,$1 - $20,$21-$49,NA,$200-$499,$200-$499,0,Four nights,Home,175
206,20,5-6 days,2,Female,Prefer not to say,80309,Yes,-,$50-$99,$200-$499,$1 - $20,$1 - $20,$50-$99,$21-$49,$100-$199,0,$500-$999,NA,Four nights,Home,500
196,45,3-4 days,4,Male,55-64,93004,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$21-$49,NA,$21-$49,$1 - $20,$21-$49,$500-$999,$20-$49,$1 - $20,$1 - $20,$20-$49,Day trip,"Friends, family or no expense",200
51,5-6 times,0,NA,Female,55-64,80303,NA,Didn't extend stay,0,0,$200-$499,$21-$49,$200-$499,"$5,000.00",$50-$99,$50-$99,$20-$49,$20-$49,Two nights,Boulder Resident,240
190,5-6 times,3-4 days,3,Female,25-34,80303,NA,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$21-$49,0,$1 - $20,$1 - $20,0,NA,0,$1 - $20,0,$200-$499,Multiple day trips,Boulder Resident,175
241,20,7-8 days,10,Male,35-44,80309,No,1 day,$500-$999,"$2,000-$3,000",$1 - $20,$100-$199,"$1,000-$1,499","$3,000-$4,000",$200-$499,$200-$499,$1 - $20,0,Local resident,"Friends, family or no expense",0
107,20,3-4 days,4,Female,55-64,80303,No,A few hours,$100-$199,$100-$199,$200-$499,$21-$49,$50-$99,$21-$49,$100-$199,$1 - $20,$200-$499,$200-$499,Local,Hotel or motel,280
17,20,0,0,Female,65-74,80309,NA,2 days,0,0,0,0,0,0,$1 - $20,NA,$100-$199,$50-$99,Resident,"Friends, family or no expense",200
273,20,3-4 days,6,Male,25-34,80305,NA,0,$200-$499,"$1,000-$1,499","$1,000.00",NA,"$1,000-$1,499",$1 - $20,$100-$199,$20-$49,$50-$99,$50-$99,Two nights,Hotel or motel,N/A
99,35,1-2 days,3,Female,55-64,80309,No,2 days,$1 - $20,$1 - $20,$1 - $20,$1 - $20,0,0,NA,$100-$199,$200-$499,$50-$99,Resident,Home,NA
67,20,3-4 days,2,Male,55-64,80306,No,2 days,$1 - $20,0,$21-$49,0,0,0,$200-$499,$50-$99,$50-$99,$500-$999,Local,"Friends, family or no expense",N/A
230,3-4 times,1-2 days,8,Male,45-54,80304,NA,Zero,$50-$99,$50-$99,$50-$99,$50-$99,$1 - $20,0,$100-$199,$50-$99,$200-$499,$200-$499,Multiple day trips,Hotel or motel,175
249,1,1-2 days,5,Female,25-34,93464,No,-,NA,$100-$199,$1 - $20,"$2,000-$3,000",$21-$49,$200-$499,$50-$99,$50-$99,$100-$199,$20-$49,Three nights,Home,3
234,5-6 times,1-2 days,2,Female,45-54,80303,NA,I live here,$50-$99,0,0,0,0,0,$100-$199,0,$50-$99,$50-$99,Two nights,"Friends, family or no expense",200
88,3-4 times,3-4 days,3,Female,25-34,80303,Yes,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$1 - $20,NA,$50-$99,$1 - $20,$1 - $20,$200-$499,$200-$499,$200-$499,$500-$999,$500-$999,Local,Home,175
203,20,1-2 days,1,Female,55-64,80303,Yes,-,$50-$99,0,0,0,0,0,$100-$199,$50-$99,0,$1 - $20,I live here,Hotel or motel,0
71,20,3-4 days,NA,Female,55-64,80304,Yes,1 day,$1 - $20,$1 - $20,$1 - $20,$1 - $20,$1 - $20,$100-$199,$20-$49,$100-$199,$200-$499,$1 - $20,Local resident,"Friends, family or no expense",0
133,35,3-4 days,5,Female,35-44,80303,NA,Home is here,$200-$499,0,$50-$99,$1 - $20,$200-$499,$21-$49,$20-$49,$50-$99,0,$20-$49,I live here,Home,125
254,20,1-2 days,11,Female,55-64,93454,Yes,2 days,$1 - $20,0,$200-$499,$500-$999,$100-$199,$100-$199,$50-$99,0,0,$20-$49,Day trip,Home,NA
4,1,1-2 days,3,Female,35-44,80306,No,0,0,$21-$49,NA,$200-$499,NA,$50-$99,$50-$99,$20-$49,$200-$499,$500-$999,Three nights,NA,280
290,5-6 times,3-4 days,4,Female,55-64,80306,NA,2 days,$21-$49,$1 - $20,"$1,000.00",NA,"$1,000-$1,499",$50-$99,$20-$49,$200-$499,$500-$999,$1 - $20,Local resident,Home,240
178,3-4 times,3-4 days,2,Female,25-34,80304,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$21-$49,0,0,$1 - $20,"$1,000-$1,499","$3,000-$4,000","$2,000-$4,999",$50-$99,NA,0,I live here,"Friends, family or no expense",280
3,1,0,0,Female,65-74,80303,Yes,NA,0,0,0,0,0,0,"$1,000-$1,999",$50-$99,$20-$49,NA,Four nights,"Friends, family or no expense",200
120,45,5-6 days,2,Male,45-54,80304,No,Zero,$100-$199,0,$21-$49,0,$21-$49,$200-$499,$100-$199,$20-$49,0,$500-$999,Three nights,NA,125
163,20,1-2 days,3,Male,25-34,80303,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$21-$49,$21-$49,$21-$49,$21-$49,$21-$49,$21-$49,NA,NA,$20-$49,$1 - $20,Four nights,"Friends, family or no expense",240
189,5-6 times,1-2 days,0.5,Female,55-64,93108,Yes,Didn't extend stay,$21-$49,0,0,$1 - $20,0,$100-$199,$100-$199,$500-$999,$500-$999,NA,Local,Boulder Resident,175
69,20,1-2 days,3,Female,55-64,80306,NA,Zero,$1 - $20,0,0,$1 - $20,$1 - $20,$50-$99,NA,$1 - $20,$200-$499,$200-$499,Four nights,NA,280
165,20,1-2 days,2,Female,35-44,80304,No,Zero,$21-$49,$50-$99,$100-$199,0,NA,NA,NA,$1 - $20,$500-$999,$1 - $20,Multiple day trips,Hotel or motel,N/A
130,20,7-8 days,3,Female,35-44,80309,No,1 day,$200-$499,0,$21-$49,$21-$49,0,$21-$49,$100-$199,$100-$199,NA,$1 - $20,I live here,Home,0
265,20,3-4 days,2,Female,55-64,80305,NA,1 day,$21-$49,$21-$49,0,0,$200-$499,$21-$49,$1 - $20,$500-$999,$1 - $20,$50-$99,Local resident,Home,240
49,5-6 times,0,0,Female,55-64,80306,Yes,Home is here,0,0,0,0,0,0,$200-$499,$1 - $20,$20-$49,$1 - $20,Resident,"Friends, family or no expense",175
149,20,1-2 days,2,Female,35-44,80303,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$21-$49,0,$21-$49,0,0,0,0,$200-$499,$100-$199,$500-$999,Live in Boulder,Boulder Resident,280
273,20,3-4 days,6,Male,25-34,80305,NA,0,$200-$499,"$1,000-$1,499","$1,000.00",NA,"$1,000-$1,499",$1 - $20,$100-$199,$20-$49,$50-$99,$50-$99,Two nights,Hotel or motel,N/A
51,5-6 times,0,NA,Female,55-64,80303,NA,Didn't extend stay,0,0,$200-$499,$21-$49,$200-$499,"$5,000.00",$50-$99,$50-$99,$20-$49,$20-$49,Two nights,Boulder Resident,240
267,20,1-2 days,2.5,Male,35-44,93111,NA,NA,$1 - $20,"$2,000-$3,000",$100-$199,$1 - $20,NA,$500-$999,$100-$199,$50-$99,$50-$99,$50-$99,Resident,Boulder Resident,280
63,20,3-4 days,2,Female,55-64,80306,No,-,$1 - $20,0,$1 - $20,0,0,0,$100-$199,0,$100-$199,$50-$99,NA,NA,175
189,5-6 times,1-2 days,0.5,Female,55-64,93108,Yes,Didn't extend stay,$21-$49,0,0,$1 - $20,0,$100-$199,$100-$199,$500-$999,$500-$999,NA,Local,Boulder Resident,175
131,20,3-4 days,3,Male,45-54,80303,No,Didn't extend stay,$200-$499,$1 - $20,$21-$49,$50-$99,$21-$49,$500-$999,$200-$499,$20-$49,$100-$199,$500-$999,Local resident,Home,0
64,20,1-2 days,5,Female,75-84,80303,Yes,Didn't extend stay,$1 - $20,0,$1 - $20,0,0,0,"$2,000-$4,999",$100-$199,$500-$999,$20-$49,Four nights,Hotel or motel,280
50,5-6 times,3-4 days,4,Female,55-64,93108,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",0,$200-$499,0,0,$200-$499,"$3,000-$4,000",$50-$99,$50-$99,$1 - $20,$200-$499,Resident,NA,3
82,1-2 times,3-4 days,10,Female,55-64,80306,NA,Live in area,$1 - $20,$50-$99,$1 - $20,$1 - $20,"$1,000-$1,499",$100-$199,$50-$99,0,$20-$49,$1 - $20,Two nights,NA,240
19,20,1-2 days,6,Female,55-64,80303,Yes,NA,0,0,$50-$99,0,0,0,$50-$99,$500-$999,$100-$199,$200-$499,Resident,Home,200
44,5-6 times,0,0,Male,35-44,80303,Yes,I live here,0,0,0,0,0,0,"$2,000-$4,999",$200-$499,NA,$20-$49,I live here,Hotel or motel,280
224,1-2 times,1-2 days,6,Female,18-24,80304,Yes,A few hours,$50-$99,$50-$99,$100-$199,$50-$99,$100-$199,0,"$2,000-$4,999",$200-$499,$20-$49,$20-$49,Live in Boulder,"Friends, family or no expense",NA
124,20,7-8 days,3,Female,35-44,80309,Yes,I live here,$200-$499,0,$21-$49,$21-$49,0,"$3,000-$4,000",$200-$499,NA,$500-$999,0,Local,NA,240
208,20,1-2 days,3,Male,45-54,80303,No,1 day,$50-$99,$50-$99,$1 - $20,$1 - $20,$200-$499,$50-$99,NA,$20-$49,$100-$199,$1 - $20,Resident,Hotel or motel,N/A
157,20,1-2 days,3,Female,55-64,80306,No,Didn't extend stay,$21-$49,NA,NA,$1 - $20,$21-$49,$1 - $20,$20-$49,$500-$999,$100-$199,$50-$99,Local resident,Boulder Resident,175
279,1-2 times,1-2 days,4,Female,45-54,93111,No,I live here,$200-$499,"$2,000-$3,000",$500-$999,$500-$999,$500-$999,$200-$499,0,$500-$999,$20-$49,$500-$999,One night,"Friends, family or no expense",200
67,20,3-4 days,2,Male,55-64,80306,No,2 days,$1 - $20,0,$21-$49,0,0,0,$200-$499,$50-$99,$50-$99,$500-$999,Local,"Friends, family or no expense",N/A
256,20,3-4 days,3,Female,45-54,80305,Yes,NA,$1 - $20,0,NA,$1 - $20,$500-$999,"$5,000.00",$50-$99,0,$20-$49,$20-$49,Day trip,Home,125
130,20,7-8 days,3,Female,35-44,80309,No,1 day,$200-$499,0,$21-$49,$21-$49,0,$21-$49,$100-$199,$100-$199,NA,$1 - $20,I live here,Home,0
98,5-6 times,1-2 days,2,Male,25-34,80306,Yes,Live in area,$1 - $20,0,0,$21-$49,0,0,$100-$199,$50-$99,$500-$999,$500-$999,Three nights,"Friends, family or no expense",240
231,3-4 times,3-4 days,3,Female,65-74,80304,No,Live in area,$50-$99,$200-$499,$1 - $20,"$2,000-$3,000",$100-$199,$50-$99,$50-$99,$500-$999,$200-$499,$500-$999,Resident,Home,N/A
185,5-6 times,1-2 days,1,Female,25-34,93013,No,Home is here,$21-$49,0,0,0,0,0,NA,$200-$499,$1 - $20,$500-$999,Local resident,Hotel or motel,175
262,20,5-6 days,5,Male,35-44,80305,NA,NA,0,$50-$99,$1 - $20,0,$1 - $20,$500-$999,$50-$99,$50-$99,$50-$99,$20-$49,I live here,Home,N/A
262,20,5-6 days,5,Male,35-44,80305,NA,NA,0,$50-$99,$1 - $20,0,$1 - $20,$500-$999,$50-$99,$50-$99,$50-$99,$20-$49,I live here,Home,N/A
65,20,3-4 days,3,Female,45-54,80309,No,Live in area,$1 - $20,$1 - $20,$1 - $20,0,$1 - $20,$1 - $20,"$2,000-$4,999",$200-$499,NA,$1 - $20,I live here,Hotel or motel,280
242,20,5-6 days,6,Male,45-54,80303,NA,NA,$500-$999,$500-$999,$50-$99,$100-$199,0,0,$100-$199,$20-$49,$20-$49,$1 - $20,Local resident,Boulder Resident,175
94,5-6 times,1-2 days,2,Female,35-44,80309,Yes,NA,$1 - $20,0,0,0,0,NA,"$2,000-$4,999",$20-$49,NA,0,Local,Boulder Resident,NA
259,20,3-4 days,3,Male,35-44,80305,NA,0,$50-$99,$100-$199,$500-$999,$100-$199,NA,$100-$199,$20-$49,$100-$199,NA,$50-$99,Day trip,Home,280
76,1-2 times,1-2 days,1,Female,18-24,91104,Yes,A few hours,$1 - $20,0,0,0,0,0,$20-$49,$20-$49,$200-$499,$50-$99,Two nights,Boulder Resident,280
255,20,1-2 days,4,Male,55-64,93111,Yes,NA,$1 - $20,"$2,000-$3,000",$50-$99,$21-$49,NA,$1 - $20,$100-$199,$100-$199,$20-$49,$20-$49,Day trip,Home,NA
28,1-2 times,0,0,Female,55-64,80309,NA,2 days,0,0,0,0,0,0,$1 - $20,$1 - $20,$100-$199,$200-$499,NA,"Friends, family or no expense",125
28,1-2 times,0,0,Female,55-64,80309,NA,2 days,0,0,0,0,0,0,$1 - $20,$1 - $20,$100-$199,$200-$499,NA,"Friends, family or no expense",125
181,3-4 times,5-6 days,5,Female,25-34,80303,NA,I live here,$21-$49,$50-$99,$50-$99,$50-$99,0,$1 - $20,$50-$99,$20-$49,$200-$499,$50-$99,Day trip,"Friends, family or no expense",175
19,20,1-2 days,6,Female,55-64,80303,Yes,NA,0,0,$50-$99,0,0,0,$50-$99,$500-$999,$100-$199,$200-$499,Resident,Home,200
152,20,1-2 days,2.5,Female,25-34,80304,NA,Live in area,$21-$49,0,$1 - $20,$1 - $20,0,$21-$49,$20-$49,$500-$999,$20-$49,$500-$999,Live in Boulder,Boulder Resident,125
146,20,1-2 days,5,Female,45-54,80303,NA,1 day,$21-$49,0,0,0,0,0,$50-$99,$20-$49,$100-$199,0,Local,Hotel or motel,175
243,3-4 times,3-4 days,10,Male,55-64,80303,NA,Live in area,$500-$999,0,0,$1 - $20,$100-$199,$1 - $20,$100-$199,NA,$200-$499,0,Three nights,NA,280
262,20,5-6 days,5,Male,35-44,80305,NA,NA,0,$50-$99,$1 - $20,0,$1 - $20,$500-$999,$50-$99,$50-$99,$50-$99,$20-$49,I live here,Home,N/A
243,3-4 times,3-4 days,10,Male,55-64,80303,NA,Live in area,$500-$999,0,0,$1 - $20,$100-$199,$1 - $20,$100-$199,NA,$200-$499,0,Three nights,NA,280
185,5-6 times,1-2 days,1,Female,25-34,93013,No,Home is here,$21-$49,0,0,0,0,0,NA,$200-$499,$1 - $20,$500-$999,Local resident,Hotel or motel,175
86,3-4 times,1-2 days,4,Female,35-44,80305,NA,2 days,$1 - $20,"$1,000-$1,499",$1 - $20,$1 - $20,$21-$49,$1 - $20,$20-$49,$1 - $20,$500-$999,0,Four nights,Hotel or motel,200
264,20,1-2 days,5,Female,35-44,80302,Yes,NA,$50-$99,NA,$50-$99,$200-$499,$50-$99,"$5,000.00",$50-$99,$50-$99,$200-$499,$50-$99,Live in Boulder,Home,NA
260,20,3-4 days,20,Male,35-44,93111,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$500-$999,$500-$999,$50-$99,$50-$99,0,NA,$200-$499,$100-$199,$50-$99,$50-$99,Four nights,"Friends, family or no expense",NA
150,20,1-2 days,3,Female,65-74,80302,No,NA,$21-$49,0,0,$1 - $20,0,$21-$49,0,$50-$99,NA,$500-$999,Multiple day trips,Home,3
143,12,2,2,Male,55-64,80303,Yes,A few hours,$21-$49,0,0,$1 - $20,0,"$5,000.00",$100-$199,0,0,0,Two nights,Home,0
196,45,3-4 days,4,Male,55-64,93004,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$21-$49,NA,$21-$49,$1 - $20,$21-$49,$500-$999,$20-$49,$1 - $20,$1 - $20,$20-$49,Day trip,"Friends, family or no expense",200
167,25,3-4 days,3,Female,65-74,80303,NA,Live in area,$21-$49,0,0,0,0,$500-$999,$200-$499,$200-$499,0,$500-$999,Three nights,Hotel or motel,200
